Date,ASIN,Rank,Reviews,Price
8/25/22 16:42,B0B6ZZMTT2,#1,"71,077",19.99
8/25/22 16:42,B01M8O5HLY,#2,"75,477",35.09
8/25/22 16:42,B07QY58JZ7,#3,"66,426",42.87
8/25/22 16:42,B000KPPIL6,#4,"25,888",54.99
8/25/22 16:42,B083WJFNBQ,#5,"17,936",12.98
8/25/22 16:42,B01M9GSSJW,#6,"13,905",22.54
8/25/22 16:42,B09FZQPGD2,#7,"2,858",13.99
8/25/22 16:42,B01MQJDQFF,#8,"18,494",10
8/25/22 16:42,B005AFHRH4,#9,"19,485",47.5
8/25/22 16:42,B00268XJMA,#10,"22,725",39.83
8/25/22 16:42,B0921TWSBR,#11,"3,562",9.99
8/25/22 16:42,B0049I2J6W,#12,"13,483",50.75
8/25/22 16:42,B076KNTQ52,#13,"14,448",29.99
8/25/22 16:42,B09PWJJSPN,#14,"16,476",25.58
8/25/22 16:42,B09P32YCHN,#15,"4,975",10.99
8/25/22 16:42,B01M9GSQST,#16,"15,677",42
8/25/22 16:42,B079M32QJX,#17,"7,574",15.99
8/25/22 16:42,B073QFL4M3,#18,"10,131",9.49
8/25/22 16:42,B08FDJDLL1,#19,"3,093",29.99
8/25/22 16:42,B002SZC5CQ,#20,"7,017",54.99
8/25/22 16:42,B09L321P16,#21,"1,152",29.99
8/25/22 16:42,B08W72YXFP,#22,"2,511",11
8/25/22 16:42,B0B5K7KDSF,#23,"2,098",36.99
8/25/22 16:42,B08YZ65MDW,#24,"2,479",11
8/25/22 16:42,B079MQQGL1,#25,"6,060",25.99
8/25/22 16:42,B07VDM12HQ,#26,"11,792",9.99
8/25/22 16:42,B00OELXPRG,#27,544,13.99
8/25/22 16:42,B009R9EIDU,#28,530,36.59
8/25/22 16:42,B01MQ27OYT,#29,"10,011",21.65
8/25/22 16:42,B0899VH8Z2,#30,"1,955",10.49
8/25/22 16:42,B09RNCZ56M,#31,"1,020",14.99
8/25/22 16:42,B085MDJFCQ,#32,"7,500",19.99
8/25/22 16:42,B07XFLZB3Z,#33,487,12.99
8/25/22 16:42,B003EMABT6,#35,"16,679",21.99
8/25/22 16:42,B079HZYTGK,#36,"3,197",54.96
8/25/22 16:42,B07NS18RS3,#37,"7,285",14.99
8/25/22 16:42,B000G1IL7C,#38,"8,612",39.99
8/25/22 16:42,B07FVLC7ZC,#39,"3,254",14.99
